hex_code,occurence,R,G,B,percent,Movement
#8D396B,16213,141,57,107,2.27,Magic-Realism
#203D27,7172,32,61,39,1.0,Magic-Realism
#A40E17,4576,164,14,23,0.64,Magic-Realism
#EBD9D7,3587,235,217,215,0.5,Magic-Realism
#CE84A5,3147,206,132,165,0.44,Magic-Realism
#411B30,737,65,27,48,0.1,Magic-Realism
#43536A,53630,67,83,106,42.3,Magic-Realism
#856D41,39867,133,109,65,31.44,Magic-Realism
#873426,12683,135,52,38,10.0,Magic-Realism
#567A60,9538,86,122,96,7.52,Magic-Realism
#2A2F29,5745,42,47,41,4.53,Magic-Realism
#A49389,4697,164,147,137,3.7,Magic-Realism
#6D3C42,524,109,60,66,0.41,Magic-Realism
#C47D6B,79,196,125,107,0.06,Magic-Realism
#D7D1AF,35,215,209,175,0.03,Magic-Realism
#7BA1B8,353043,123,161,184,67.89,Magic-Realism
#7B8272,100689,123,130,114,19.36,Magic-Realism
#456274,53573,69,98,116,10.3,Magic-Realism
#C2B68E,8115,194,182,142,1.56,Magic-Realism
#0D293F,3979,13,41,63,0.77,Magic-Realism
#CECBD2,589,206,203,210,0.11,Magic-Realism
#000908,500280,0,9,8,48.04,Magic-Realism
#E1D59B,203741,225,213,155,19.56,Magic-Realism
#004D81,86190,0,77,129,8.28,Magic-Realism
#C3B3A4,71597,195,179,164,6.87,Magic-Realism
#271843,51929,39,24,67,4.99,Magic-Realism
#2B0000,51554,43,0,0,4.95,Magic-Realism
#726E91,35314,114,110,145,3.39,Magic-Realism
#600911,27191,96,9,17,2.61,Magic-Realism
#A00D20,13692,160,13,32,1.31,Magic-Realism
#4D776D,79394,77,119,109,39.71,Magic-Realism
#010000,42729,1,0,0,21.37,Magic-Realism
#AB6C36,31487,171,108,54,15.75,Magic-Realism
#EEC897,23644,238,200,151,11.82,Magic-Realism
#481C11,9450,72,28,17,4.73,Magic-Realism
#3E4450,7686,62,68,80,3.84,Magic-Realism
#AEB4C0,2442,174,180,192,1.22,Magic-Realism
#9E3925,2168,158,57,37,1.08,Magic-Realism
#725F3F,957,114,95,63,0.48,Magic-Realism
#342802,42590,52,40,2,30.63,Magic-Realism
#5F510A,40643,95,81,10,29.23,Magic-Realism
#B09A61,17697,176,154,97,12.73,Magic-Realism
#FCF8DB,16040,252,248,219,11.53,Magic-Realism
#A4771A,8850,164,119,26,6.36,Magic-Realism
#E4BD00,7143,228,189,0,5.14,Magic-Realism
#B0ADB6,2600,176,173,182,1.87,Magic-Realism
#8E3C04,1900,142,60,4,1.37,Magic-Realism
#EFDB92,1603,239,219,146,1.15,Magic-Realism
#000000,348440,0,0,0,68.23,Magic-Realism
#918B67,32898,145,139,103,6.44,Magic-Realism
#373B3C,32595,55,59,60,6.38,Magic-Realism
#002000,25325,0,32,0,4.96,Magic-Realism
#704600,21410,112,70,0,4.19,Magic-Realism
#F1F5FE,17139,241,245,254,3.36,Magic-Realism
#2F0000,11401,47,0,0,2.23,Magic-Realism
#667676,11324,102,118,118,2.22,Magic-Realism
#860000,10134,134,0,0,1.98,Magic-Realism
#9E8861,354854,158,136,97,79.65,Magic-Realism
#644F3A,88207,100,79,58,19.8,Magic-Realism
#2E1A0F,1447,46,26,15,0.32,Magic-Realism
#D9CCC3,945,217,204,195,0.21,Magic-Realism
#A36D2D,52,163,109,45,0.01,Magic-Realism
#141C1E,121839,20,28,30,65.32,Magic-Realism
#554B42,38077,85,75,66,20.42,Magic-Realism
#938F90,16450,147,143,144,8.82,Magic-Realism
#FFFEF8,7830,255,254,248,4.2,Magic-Realism
#A0735E,1971,160,115,94,1.06,Magic-Realism
#E5B5B1,171,229,181,177,0.09,Magic-Realism
#414A67,123,65,74,103,0.07,Magic-Realism
#682618,43,104,38,24,0.02,Magic-Realism
#B8C6E3,10,184,198,227,0.01,Magic-Realism
#AA9675,1119496,170,150,117,58.87,Magic-Realism
#505261,652152,80,82,97,34.3,Magic-Realism
#E6D6BF,104960,230,214,191,5.52,Magic-Realism
#AFB1BD,16891,175,177,189,0.89,Magic-Realism
#7E5543,5064,126,85,67,0.27,Magic-Realism
#161F24,2707,22,31,36,0.14,Magic-Realism
#996F83,268,153,111,131,0.01,Magic-Realism
#601C1D,21,96,28,29,0.0,Magic-Realism
#643255,8,100,50,85,0.0,Magic-Realism
#F6EED7,71260,246,238,215,49.08,Magic-Realism
#797C83,46247,121,124,131,31.85,Magic-Realism
#B6B18B,18713,182,177,139,12.89,Magic-Realism
#C69F50,5296,198,159,80,3.65,Magic-Realism
#7D6E4F,3003,125,110,79,2.07,Magic-Realism
#40413B,588,64,65,59,0.4,Magic-Realism
#8E5E1C,66,142,94,28,0.05,Magic-Realism
#0A0200,11,10,2,0,0.01,Magic-Realism
#F2E08E,5,242,224,142,0.0,Magic-Realism
#646369,174696,100,99,105,41.98,Magic-Realism
#16151A,128156,22,21,26,30.8,Magic-Realism
#A8A7AD,80123,168,167,173,19.26,Magic-Realism
#B32D2C,18682,179,45,44,4.49,Magic-Realism
#D27786,6024,210,119,134,1.45,Magic-Realism
#EEEADF,5529,238,234,223,1.33,Magic-Realism
#7D342D,2872,125,52,45,0.69,Magic-Realism
#4D1C2F,15,77,28,47,0.0,Magic-Realism
#FFBABE,2,255,186,190,0.0,Magic-Realism
#89795F,417656,137,121,95,93.33,Magic-Realism
