hex_code,occurence,R,G,B,percent,Movement
#B4804E,2452705,180,128,78,16.57,Neoclassicism
#1F221B,519707,31,34,27,85.93,Neoclassicism
#ECE1DD,64434,236,225,221,10.65,Neoclassicism
#797461,20670,121,116,97,3.42,Neoclassicism
#C2A561,392019,194,165,97,49.14,Neoclassicism
#000000,283673,0,0,0,35.56,Neoclassicism
#FFFFFF,91581,255,255,255,11.48,Neoclassicism
#564A32,30567,86,74,50,3.83,Neoclassicism
#694A48,169990,105,74,72,46.69,Neoclassicism
#FCFCFC,90728,252,252,252,24.92,Neoclassicism
#C89B7E,90506,200,155,126,24.86,Neoclassicism
#9D95BA,12886,157,149,186,3.54,Neoclassicism
#282C2D,157984,40,44,45,57.47,Neoclassicism
#868281,111302,134,130,129,40.49,Neoclassicism
#D5D7E3,4768,213,215,227,1.73,Neoclassicism
#EAD39F,865,234,211,159,0.31,Neoclassicism
#575469,876813,87,84,105,81.76,Neoclassicism
#221413,135300,34,20,19,12.62,Neoclassicism
#F1F0F8,58087,241,240,248,5.42,Neoclassicism
#AB9894,2198,171,152,148,0.2,Neoclassicism
#6A5A5A,621741,106,90,90,47.86,Neoclassicism
#06050D,578848,6,5,13,44.56,Neoclassicism
#D7D4DB,97959,215,212,219,7.54,Neoclassicism
#A19366,531,161,147,102,0.04,Neoclassicism
#FFBA5B,144107,255,186,91,45.38,Neoclassicism
#1A1E1F,96815,26,30,31,30.49,Neoclassicism
#A96943,73053,169,105,67,23.0,Neoclassicism
#FFDBB4,3603,255,219,180,1.13,Neoclassicism
#947644,290387,148,118,68,42.47,Neoclassicism
#0E1118,237468,14,17,24,34.73,Neoclassicism
#D2E1E8,144637,210,225,232,21.15,Neoclassicism
#582923,11284,88,41,35,1.65,Neoclassicism
#110F14,160994,17,15,20,61.13,Neoclassicism
#F3D7A5,40355,243,215,165,15.32,Neoclassicism
#571F20,39368,87,31,32,14.95,Neoclassicism
#9C693C,22659,156,105,60,8.6,Neoclassicism
#DAD8C1,885182,218,216,193,56.34,Neoclassicism
#615644,673821,97,86,68,42.89,Neoclassicism
#080000,12066,8,0,0,0.77,Neoclassicism
#1A1A1A,138040,26,26,26,100.0,Neoclassicism
#9A382B,1705018,154,56,43,48.01,Neoclassicism
#E1E2DA,702957,225,226,218,19.8,Neoclassicism
#DE9137,600935,222,145,55,16.92,Neoclassicism
#9E956A,542236,158,149,106,15.27,Neoclassicism
#10070A,49391,16,7,10,34.32,Neoclassicism
#D3A46C,42185,211,164,108,29.32,Neoclassicism
#654425,41270,101,68,37,28.68,Neoclassicism
#FFFEFF,11050,255,254,255,7.68,Neoclassicism
#161622,3048820,22,22,34,51.59,Neoclassicism
#645D4D,2648212,100,93,77,44.81,Neoclassicism
#C6AD8E,204576,198,173,142,3.46,Neoclassicism
#A8782E,7606,168,120,46,0.13,Neoclassicism
#171721,367020,23,23,33,33.97,Neoclassicism
#66563C,360157,102,86,60,33.33,Neoclassicism
#F5DAA5,340063,245,218,165,31.47,Neoclassicism
#95541C,13273,149,84,28,1.23,Neoclassicism
#6C7095,199687,108,112,149,53.77,Neoclassicism
