hex_code,occurence,R,G,B,percent,Movement
#622E23,15015,98,46,35,4.42,Early-Renaissance
#565A5D,1943,86,90,93,0.57,Early-Renaissance
#FCE393,1534,252,227,147,0.45,Early-Renaissance
#BC2A1D,686,188,42,29,0.2,Early-Renaissance
#D79950,312167,215,153,80,30.53,Early-Renaissance
#120C0E,253070,18,12,14,24.75,Early-Renaissance
#993229,236049,153,50,41,23.08,Early-Renaissance
#BFBDC0,124846,191,189,192,12.21,Early-Renaissance
#94765C,94902,148,118,92,9.28,Early-Renaissance
#555162,1271,85,81,98,0.12,Early-Renaissance
#4E2A0A,241,78,42,10,0.02,Early-Renaissance
#615557,620029,97,85,87,51.8,Early-Renaissance
#000005,370769,0,0,5,30.98,Early-Renaissance
#D2CAC7,163188,210,202,199,13.63,Early-Renaissance
#9C7C4D,42504,156,124,77,3.55,Early-Renaissance
#6B311B,447,107,49,27,0.04,Early-Renaissance
#808E8F,1635461,128,142,143,61.28,Early-Renaissance
#74653A,772116,116,101,58,28.93,Early-Renaissance
#580000,121131,88,0,0,4.54,Early-Renaissance
#000000,114899,0,0,0,4.31,Early-Renaissance
#A55425,17316,165,84,37,0.65,Early-Renaissance
#D3B58F,8035,211,181,143,0.3,Early-Renaissance
#462C13,216291,70,44,19,49.34,Early-Renaissance
#F04B11,157083,240,75,17,35.83,Early-Renaissance
#94281C,37000,148,40,28,8.44,Early-Renaissance
#F48F47,20925,244,143,71,4.77,Early-Renaissance
#BA9664,6548,186,150,100,1.49,Early-Renaissance
#FFF1BF,543,255,241,191,0.12,Early-Renaissance
#FECF67,8,254,207,103,0.0,Early-Renaissance
#C2A174,437953,194,161,116,58.92,Early-Renaissance
#5E5D58,239192,94,93,88,32.18,Early-Renaissance
#58370E,37977,88,55,14,5.11,Early-Renaissance
#131811,12647,19,24,17,1.7,Early-Renaissance
#FFFFE1,10228,255,255,225,1.38,Early-Renaissance
#B8603A,3209,184,96,58,0.43,Early-Renaissance
#C7AF35,1493,199,175,53,0.2,Early-Renaissance
#426022,495,66,96,34,0.07,Early-Renaissance
#96B3AE,137,150,179,174,0.02,Early-Renaissance
#19140E,488267,25,20,14,57.55,Early-Renaissance
#7E4937,174130,126,73,55,20.52,Early-Renaissance
#D8D3BF,171283,216,211,191,20.19,Early-Renaissance
#EACD7D,13929,234,205,125,1.64,Early-Renaissance
#606966,803,96,105,102,0.09,Early-Renaissance
